store,friendly name,city,state,zip,address,
1980,Bensalem,Trevose,PA,19053,3421 Horizon Blvd,
1982,Easton,Easton,MD,21601,501 Glebe Rd,
1983,Greenville,Greenville,SC,29607,1131 Woodruff Rd,
1984,Princeton,Princeton,WV,24740,1155 Oakvale Rd,
1985,Fairbanks,Fairbanks,AK,99701,425 Merhar Ave,
1986,Boiling Springs,Boiling Springs,SC,29316,170 Rainbow Lake Rd,
1987,Lake Elsinore,Lake Elsinore,CA,92532,29335 Central Ave,
1988,Olive Branch,Olive Branch,MS,38654,8370 Camp Creek Blvd,
1989,Westminster,Westminster,CO,80031,5600 West 88th Ave,
1990,Brevard,Brevard,NC,28712,119 Ecusta Rd,
2201,S. Asheville,Arden,NC,28704,19 Mckenna Rd,
2202,Bullhead City,Bullhead City,AZ,86442,1680 Highway 95,
2203,Crowley,Crowley,LA,70526,142 Julia John Dr,
2204,E. Athens,Athens,GA,30605,3341 Lexington Rd,
2205,Fayetteville,Fayetteville,WV,25840,46 Fayette Town Center Rd,
2206,Manitowoc,Manitowoc,WI,54220,4401 Dewey St,
2207,N. Augusta,North Augusta,SC,29841,1220 Knox Ave,
2208,Philadelphia,Philadelphia,MS,39350,1105 Central Dr,
2209,Presque Isle,Presque Isle,ME,4769,135 Maysville St,
2210,Roxboro,Roxboro,NC,27573,2044 Durham Rd,
2211,Sunnyvale,Sunnyvale,CA,94085,811 East Arques Ave,
2212,Troy,Troy,AL,36081,1421 U.S. Highway 231 South,
2213,Wadsworth,Wadsworth,OH,44281,1065 Williams Reserve Blvd,
2214,Durant,Durant,OK,74701,720 University Pl,
2215,Hanford,Hanford,CA,93230,1955 West Lacey Blvd,
2216,Lewistown,Lewistown,PA,17044,10472 Us Highway 522 South,
2217,Rocky Mount,Rocky Mount,VA,24151,800 Old Franklin Turnpike,
2218,Savannah,Savannah,TN,38372,1895 Wayne Rd,
2219,N.E. Pittsburgh,Tarentum,PA,15084,1005 Village Center Dr,
2220,Cleburne,Cleburne,TX,76033,2100 North Main St,
2221,N.E. FT. Myers,Ft. Myers,FL,33966,8040 Dani Dr,
2222,S.E. Greensboro,Greensboro,NC,27406,109 West Elmsley Dr,
2223,Mechanicsburg,Mechanicsburg,PA,17050,5500 Carlisle Pike,
2224,Sebring,Sebring,FL,33870,2050 U.S. 27 North,
2225,Granbury,Granbury,TX,76048,1021 East Highway 377,
2226,Ozark,Ozark,MO,65721,1800 West Marler Ln,
2227,N. Stockton,Stockton,CA,95219,10342 Trinity Pkwy,
2228,Waynesboro,Waynesboro,PA,17268,12925 Washington Township Blvd,
